지역명,의료 평균접근성,학생수,교원수,교원 1인당 학생수,보증금(만원),월세금(만원),종합월부담,의료 등급,교육 인프라 등급,종합부담등급,월세등급,summary
경기도 남양주시,0.002191053,25996.0,2339.0,11.11,792.7959184,44.5755102,47.88,중,상,상,상,경기도 남양주시는 의료와 교육 인프라가 뛰어나고 종합적인 월부담 등급이 높은 지역으로 평균적으로 학생당 교원 수가 적고 월세가 비교적 낮은 편입니다.
경기도 동두천시,0.002607856,65442.0,5210.0,12.56,789.8078818,44.20745634,47.5,중,상,상,상,"경기도 동두천시는 의료 및 교육 인프라가 뛰어나며, 학생 수 대비 교원 수가 적절하고 월세 부담도 상대적으로 낮은 곳으로 평가됩니다."
경기도 부천시,0.004306837,75243.0,6008.0,12.52,781.25,33.28125,36.54,상,상,하,하,"경기도 부천시는 의료와 교육 인프라가 뛰어나며 월세 부담이 낮은 편이지만, 종합부담 등급은 낮은 편으로 평가됩니다."
경기도 성남시,0.005333952,11811.0,1351.0,8.74,771.9656463,41.16530612,44.38,상,중,중,중,경기도 성남시는 의료에 대한 접근성이 낮지만 학생 수 대비 교원 수가 적절하며 교육 인프라 등급이 중간 수준입니다. 월세와 보증금 부담도 중간 수준으로 적당한 지역으로 볼 수 있습니다.
경기도 수원시,0.004453984,41001.0,3120.0,13.14,763.9374379,45.25124131,48.43,상,상,상,상,"경기도 수원시는 의료와 교육 평균접근성이 뛰어나며, 부동산 부담도 낮은 편이라는 특징을 가지고 있습니다. 학교 교원 1인당 학생수가 적고 학생수 대비 교원 수도 적당한 수준을 보여 상 클래스에 속합니다."
경기도 시흥시,0.003481657,144027.0,10707.0,13.45,761.9314574,47.48773449,50.66,상,상,상,상,"경기도 시흥시는 의료 및 교육 인프라가 우수한 지역으로, 학생 수 대비 교원 수가 적절하며 월세 및 보증금 부담이 낮은 편입니다. 종합적으로 봤을 때 의료, 교육 및 주거 환경 모두 상급 등급에 해당하는 지역입니다."
경기도 안산시,0.002769356,20275.0,1993.0,10.17,760.2561983,40.93057851,44.1,상,상,중,중,"경기도 안산시는 의료 및 교육 평균접근성이 높고 보증금과 월세금이 상대적으로 낮은 지역으로, 교원 1인당 학생수가 적절하며 종합부담 및 월세 관련 지표는 중간 수준에 해당합니다."
경기도 안성시,0.002011561,1783.0,328.0,5.44,750.0,46.5,49.62,중,하,상,상,"경기도 안성시는 의료 및 교육 서비스가 높은 수준으로 제공되는 지역으로, 보증금 및 월세비용은 상대적으로 높지만 종합적으로 부담률은 높은 편에 속합니다."
경기도 안양시,0.003452697,9960.0,956.0,10.42,745.1243781,36.88723051,39.99,상,상,중,중,"경기도 안양시는 의료 및 교육 인프라가 뛰어나고 보증금 및 월세가 중간 정도 수준인 지역으로, 종합적으로는 중등한 부담 등급을 가지고 있습니다."
경기도 양주시,0.002285739,5303.0,688.0,7.71,736.3636364,38.63636364,41.7,중,중,중,중,"경기도 양주시는 의료와 교육 접근성이 중간 수준으로 높고, 월세 및 종합부담 부담이 중간 수준인 지역입니다. 학생 수와 교원 수의 비율은 7.71로 적절한 교육 환경을 제공하고 있습니다."
경기도 양평군,0.001343163,8160.0,756.0,10.79,736.3448276,42.16551724,45.23,하,상,상,상,경기도 양평군은 의료와 교육 분야에서 높은 접근성과 인프라 등급을 가진 지역으로 분류됩니다. 또한 월세 및 종합부담 등급 역시 높은 수준을 유지하고 있습니다.
경기도 여주시,0.002029471,2187.0,341.0,6.41,734.817574,36.28844317,39.35,중,하,중,하,경기도 여주시는 의료 접근성은 중간 수준이지만 교육 인프라는 낮은 수준입니다. 월세 부담은 낮고 교원 1인당 학생수는 상대적으로 적습니다.
경기도 연천군,0.001270597,1791.0,285.0,6.28,731.0197368,39.60855263,42.65,하,하,중,중,"경기도 연천군은 의료와 교육 평균접근성이 낮고, 보증금과 월세금이 상대적으로 낮으며 종합적으로는 중평균 수준의 부담이 있는 지역으로 평가됩니다."
경기도 오산시,0.00274787,2753.0,498.0,5.53,722.6216404,35.9362836,38.95,상,하,중,하,"경기도 오산시는 의료 접근성이 우수하고 교육 인프라 등급이 낮은 지역으로, 월세가 낮고 보증금 역시 상대적으로 저렴한 편입니다. 종합부담 등급은 중으로 평가됩니다."
경기도 용인시,0.002297112,43011.0,3853.0,11.16,721.3114754,34.27868852,37.28,중,상,하,하,"경기도 용인시는 의료와 교육 접근성이 낮지만, 월세 부담이 적은 지역으로 평가됩니다. 교육 인프라는 우수하지만 종합적인 부담은 낮은 편에 속합니다."
경기도 의왕시,0.003878418,2732.0,402.0,6.8,716.0,45.12,48.1,상,하,상,상,"경기도 의왕시는 의료 및 교육 인프라가 뛰어나고, 학생수 대비 교원 수도 적절한 편이며 월세 및 종합부담 등급이 높은 지역입니다."
경기도 의정부시,0.003403666,2478.0,468.0,5.29,700.0,39.7,42.62,상,하,중,중,"경기도 의정부시는 상위 의료 서비스 접근성과 중간 수준의 교육 인프라를 가지고 있으며, 월세 부담이 중간 수준에 위치하는 지역입니다. 2478명의 학생을 대상으로 468명의 교원이 근무하며, 교원 1인당 학생 수는 5.29명으로 나타납니다."
경기도 이천시,0.002365864,3714.0,526.0,7.06,699.5017585,41.95486518,44.87,중,하,상,중,"경기도 이천시는 의료 및 교육 접근성이 비교적 높고, 월세 및 보증금 부담이 중간 수준인 지역으로, 종합적으로는 상급 부담 등급에 위치하고 있습니다."
경기도 파주시,0.001564768,32444.0,3024.0,10.73,698.6111111,36.76388889,39.67,하,상,중,중,경기도 파주시는 의료 접근성이 낮지만 교육 인프라는 우수한 지역입니다. 월세는 중간 수준이며 종합적으로 보면 중간 수준의 부담을 가지고 있는 지역으로 평가됩니다.
경기도 평택시,0.00241212,3691.0,518.0,7.13,696.969697,35.03030303,37.93,중,하,하,하,"경기도 평택시는 의료와 교육 분야에서 중하급 수준의 서비스를 제공하고 있으며, 월세 및 종합부담이 낮은 지역으로 알려져 있습니다. 학생 수 대비 교원 수 비율이 적절하며, 의료 평균접근성 또한 높은 편이라고 할 수 있습니다."
경기도 포천시,0.002153142,2642.0,468.0,5.65,687.5,43.125,45.99,중,하,상,상,"경기도 포천시는 의료와 교육 분야에서 접근성이 낮고 부담이 크지만, 교육 인프라 등급은 낮고 월세는 상으로 분류됩니다."
경기도 하남시,0.003055814,5392.0,818.0,6.59,686.5934066,35.67032967,38.53,상,하,하,하,"경기도 하남시는 의료 및 교육 평균접근성이 낮고 월세 및 보증금 부담이 상대적으로 낮은 지역으로, 교육 및 의료 인프라 등급이 낮은 것이 특징입니다."
경기도 화성시,0.002044895,2019.0,341.0,5.92,678.680203,41.39593909,44.22,중,하,중,중,"경기도 화성시는 의료 서비스와 교육 인프라가 중간 수준으로 평가되는 지역으로, 보증금과 월세금이 각각 678만원과 41만원으로 평균 이상의 수치를 보이며, 종합부담 등급도 중간 수준이며 월세도 중간 수준으로 평가됩니다."
경상남도 거제시,0.00209701,3724.0,557.0,6.69,676.2711864,34.57627119,37.39,중,하,하,하,"경상남도 거제시는 의료 및 교육 분야에서는 중하 수준의 서비스를 제공하며, 월세 및 종합부담 부담이 상대적으로 낮은 지역입니다. 교원 1인당 학생수는 적당한 수준을 유지하고 있습니다."
경상남도 거창군,0.001510352,1921.0,375.0,5.12,668.3628319,34.96460177,37.75,하,하,하,하,"경상남도 거창군은 의료 및 교육 평균접근성이 낮고, 보증금과 월세금이 상대적으로 낮은 편이며 종합부담이 낮은 지역입니다."
경상남도 고성군,0.001707494,1798.0,308.0,5.84,660.8695652,36.86956522,39.62,하,하,중,중,"경상남도 고성군은 의료 및 교육 접근성이 낮지만 부담이 적은 지역으로, 월세와 종합부담 등급이 중간 수준에 있습니다."
경상남도 김해시,0.003108114,2232.0,398.0,5.61,657.912271,41.59578012,44.34,상,하,중,중,"경상남도 김해시는 의료 접근성이 우수하고 학생과 교원의 비율이 적절한 교육 환경이 갖춰진 지역으로, 월세와 보증금 부담이 중간 수준에 해당하는 지역입니다."
경상남도 남해군,0.002155142,3136.0,471.0,6.66,651.2605941,47.44039604,50.15,중,하,상,상,"경상남도 남해군은 의료 및 교육 평균접근성이 낮으며, 보증금과 월세가 상대적으로 높은 지역입니다. 종합부담 및 월세 등급은 상으로 분류됩니다."
경상남도 밀양시,0.0016376,3815.0,504.0,7.57,650.3504673,30.72663551,33.44,하,중,하,하,"경상남도 밀양시는 의료와 교육 분야에서 접근성이 뛰어나고 보증금과 월세금이 낮은 편이며, 교원 1인당 학생수가 적당한 중간 수준의 교육 인프라 등급을 가진 지역입니다."
경상남도 사천시,0.002103448,8777.0,1062.0,8.26,647.0588235,38.14705882,40.84,중,중,중,중,"경상남도 사천시는 의료와 교육 분야에서 중급 수준의 서비스를 제공하고 있으며, 월세 부담이 중급 수준으로 나타나는 지역입니다."
경상남도 산청군,0.001686899,12679.0,1310.0,9.68,643.9189189,46.81381381,49.5,하,중,상,상,"경상남도 산청군은 의료와 교육 분야에서 접근성이 우수하며, 학생 수 대비 교원 수가 적절한 수준이며 학생들에게 도움이 될 수 있는 교육 인프라 등급을 갖추고 있습니다. 또한 종합적인 월 부담이 상대적으로 높은 편이며 월세 등급도 상위에 속합니다."
경상남도 양산시,0.002593241,4010.0,392.0,10.23,640.4060495,37.49587534,40.16,중,상,중,중,"경상남도 양산시는 의료 및 교육 접근성이 상대적으로 좋은 편이며, 월세 및 종합부담 등급은 중으로 평가됩니다. 지역 내에서는 교원 1인당 학생수가 상대적으로 낮고, 보증금 및 월세금도 비교적 저렴한 편에 속합니다."
경상남도 의령군,0.001271588,11121.0,1116.0,9.97,638.75,37.11363636,39.78,하,상,중,중,"경상남도 의령군은 교육 인프라가 좋고 의료 접근성은 낮은 편이며, 월세 및 보증금 부담이 중간 수준인 지역입니다."
경상남도 진주시,0.002618133,105894.0,9062.0,11.69,636.6666667,35.88333333,38.54,중,상,하,하,"경상남도 진주시는 의료와 교육 접근성이 어느 정도 확보되어 있으며, 월세 부담이 낮은 편이지만 보증금은 상대적으로 높은 편에 속합니다. 종합적으로는 부담이 살짝 높은 편이어서 주거 환경을 고려할 필요가 있습니다."
경상남도 창녕군,0.002253707,22007.0,2237.0,9.84,633.3333333,39.77777778,42.42,중,중,중,중,"경상남도 창녕군은 의료와 교육 평균접근성이 중간 수준이며, 학생수 대비 교원수가 적절하고 교원 1인당 학생수도 적합합니다. 주거 비용이 다소 저렴한 편이며, 종합적인 생활부담 등급은 중간 수준입니다."
경상남도 창원시,0.002847222,6693.0,543.0,12.33,633.3333333,33.33333333,35.97,상,상,하,하,"경상남도 창원시는 의료 및 교육 분야에서 높은 평균접근성을 보유하고 있으며, 학생과 교원 간의 밀도가 높은 상태로 운영되고 있습니다. 월세 및 보증금 부담은 낮은 편이며, 종합부담 등급은 낮지만 교육 인프라 등급은 높은 것으로 나타납니다."
경상남도 통영시,0.002788114,9744.0,1314.0,7.42,630.3030303,37.66666667,40.29,상,중,중,중,"경상남도 통영시는 의료 서비스가 뛰어나고 학생 수와 교원 수가 적절히 균형을 이루고 있는 지역으로, 교육 인프라와 월세 부담이 중간 수준에 해당합니다."
경상남도 하동군,0.001099795,3833.0,575.0,6.67,630.0,38.9,41.52,하,하,중,중,"경상남도 하동군은 의료 및 교육 접근성이 낮지만 생활비 부담은 중간 수준으로, 월세 등급 또한 중간 수준인 지역입니다."
경상남도 함안군,0.001553724,11363.0,1506.0,7.55,622.7923607,36.81792074,39.41,하,중,중,중,"경상남도 함안군은 의료 및 교육 평균접근성이 낮지만, 교원 1인당 학생수가 적절히 유지되고 보증금 및 월세금이 중간 수준으로 형성되어 있는 지역입니다. 종합부담등급은 중으로 평가되었으며, 의료 및 교육 인프라 등급은 중에서 상이며, 월세등급은 중입니다."
경상남도 함양군,0.001697874,20772.0,1887.0,11.01,616.0,37.44,40.01,하,상,중,중,"경상남도 함양군은 의료 서비스에 대한 접근성이 낮지만 교육 인프라는 우수하며, 생활비 부담은 중간 수준인 지역으로 요약할 수 있습니다."
경상남도 합천군,0.001752368,8447.0,1085.0,7.79,614.584919,35.72656801,38.29,하,중,하,하,"경상남도 합천군은 의료 및 교육 접근성이 낮고 월세 부담이 낮은 지역으로, 교육 인프라는 중급 수준에 있습니다."
경상북도 경산시,0.001399438,4302.0,733.0,5.87,614.1891892,37.35135135,39.91,하,하,중,중,"경상북도 경산시는 의료와 교육 평균접근성이 낮지만, 보증금과 월세금이 상대적으로 낮고 종합부담이 중간 수준인 지역입니다."
경상북도 경주시,0.001575055,20853.0,1941.0,10.74,606.9444444,32.30555556,34.83,하,상,하,하,"경상북도 경주시는 의료 및 교육 인프라가 뛰어나며 월세 부담이 낮은 지역으로, 학생 수 대비 교원 수가 적절하게 유지되고 있습니다."
경상북도 고령군,0.002053916,3578.0,640.0,5.59,605.2631579,41.63157895,44.15,중,하,중,중,"경상북도 고령군은 의료와 교육 분야에서 중간 수준의 서비스를 제공하고 있으며, 교원 1인당 학생 수가 낮은 교육 환경을 가지고 있습니다. 주거비용 역시 상대적으로 낮은 편이며, 종합적으로 중간 수준의 생활 부담을 갖는 지역입니다."
경상북도 구미시,0.001538845,52140.0,4286.0,12.17,602.5,30.33333333,32.84,하,상,하,하,"경상북도 구미시는 의료 및 교육 접근성이 상당히 우수한 지역으로, 학생 수 대비 교원 수가 적절하며 월세 및 종합부담이 낮은 편입니다. 의료 및 교육 인프라 등급도 높은 편이며 전반적으로 생활 부담이 낮은 환경입니다."
경상북도 김천시,0.001607357,7442.0,997.0,7.46,598.797619,34.05952381,36.55,하,중,하,하,"경상북도 김천시는 의료 및 교육 분야에서 다소 낮은 등급을 가지고 있지만, 월세 등급이 낮아 부동산 부담이 상대적으로 낮은 편이며, 학생 대비 교원 수가 적절한 수준에 있는 것으로 나타납니다."
경상북도 문경시,0.001305594,87493.0,6967.0,12.56,596.802168,39.69918699,42.19,하,상,중,중,"경상북도 문경시는 교육 인프라 등급이 상이지만 월세 및 종합부담은 중등급에 해당하는 지역으로, 의료 평균접근성은 낮지만 보증금과 월세금은 비교적 낮은 수준에 있습니다."
경상북도 봉화군,0.001224418,1917.0,355.0,5.4,595.5801105,32.54143646,35.02,하,하,하,하,"경상북도 봉화군은 의료와 교육 분야에서 평균적인 접근성과 인프라 등급을 보유하고 있으며, 월세와 보증금 측면에서도 낮은 부담을 갖고 있습니다."
경상북도 상주시,0.001584686,4215.0,612.0,6.89,593.75,48.5,50.97,하,하,상,상,"경상북도 상주시는 의료와 교육의 접근성이 낮지만 보증금과 월세 부담이 비교적 낮은 편이며, 교육 인프라와 종합 부담 등급은 낮지만 월세 부담 등급은 높은 특성을 가지고 있습니다."
경상북도 성주군,0.001315966,11736.0,1193.0,9.84,593.1372549,36.13921569,38.61,하,중,하,하,"경상북도 성주군은 의료 접근성이 낮고 학생 수 대비 교원 수가 적은 지역으로, 교육 인프라는 중급 수준이지만 월세 부담이 낮은 한편 보증금 부담은 상대적으로 높은 특징을 가지고 있습니다."
경상북도 안동시,0.00165589,4650.0,730.0,6.37,584.755199,42.4818776,44.92,하,하,상,상,"경상북도 안동시는 의료 및 교육 접근성이 낮은 편이지만, 보증금 및 월세 금액은 비교적 낮은 편입니다. 종합적으로는 부담이 크지만 교육 및 의료 인프라는 상위 등급을 유지하고 있습니다."
경상북도 영덕군,0.001922645,30916.0,2917.0,10.6,584.6153846,37.69230769,40.13,중,상,중,중,경상북도 영덕군은 의료와 교육 접근성이 상당히 좋고 월세 등급도 중간 수준인 지역입니다. 학생수 대비 교원수가 적절하며 종합부담도 중간 수준으로 유지되고 있습니다.
경상북도 영양군,0.001318012,6761.0,1063.0,6.36,578.9523493,36.43306738,38.85,하,하,중,중,"경상북도 영양군은 의료와 교육 평균접근성이 낮지만, 보증금과 월세는 상대적으로 낮은 수준에 있습니다. 종합부담 등급은 중이며, 월세등급 또한 중으로 평가됩니다."
경상북도 영주시,0.001698282,7134.0,1043.0,6.84,578.3,38.15,40.56,하,하,중,중,"경상북도 영주시는 의료와 교육 평균접근성이 낮지만, 주거비 부담이 상대적으로 낮은 지역으로 분류됩니다. 종합부담 등급은 중이며, 교육 인프라 등급과 월세 등급은 모두 하위 등급에 속합니다."
경상북도 영천시,0.001279926,1866.0,345.0,5.41,578.0,36.62,39.03,하,하,중,중,"경상북도 영천시는 의료 및 교육 접근성이 낮고 보증금 및 월세 부담이 적은 지역으로, 학생 대비 교원 비율이 낮고 종합부담 등급이 중간 수준에 해당합니다."
경상북도 예천군,0.001506059,3786.0,659.0,5.75,575.0,39.35416667,41.75,하,하,중,중,"경상북도 예천군은 의료와 교육 접근성이 낮지만 보증금과 월세는 상대적으로 낮은 편이며, 종합적으로는 중간 정도의 부담을 요구하는 지역입니다."
경상북도 울릉군,0.005593546,2140.0,419.0,5.11,573.7703822,31.3366242,33.73,상,하,하,하,"경상북도 울릉군은 의료 접근성이 낮고 교육 인프라 등급이 낮은 지역으로, 월세 및 보증금 부담도 상대적으로 낮은 편입니다. Overall, it is a region with lower medical accessibility and education infrastructure ratings, along with relatively low rental and deposit burdens."
경상북도 울진군,0.001478559,9977.0,1298.0,7.69,568.8256659,44.53389831,46.9,하,중,상,상,"경상북도 울진군은 의료 서비스에 대한 평균적인 접근성이 높고, 학생 수 대비 교원 수가 적절하며 교원 1인당 학생 수가 적은 지역입니다. 주거 부담이 낮고 교육 인프라 등급이 중상 수준인 반면, 의료와 월세 부담은 높은 편에 속합니다."
경상북도 의성군,0.001904739,29859.0,3188.0,9.37,567.2680412,41.06185567,43.43,중,중,중,중,"경상북도 의성군은 의료와 교육 분야에서 중간 수준의 서비스를 제공하고 있으며, 학생 수와 교원 수의 균형이 잘 맞추어진 지역으로 보증금과 월세 금액도 중간 수준에 속합니다."
경상북도 청도군,0.001596872,1518.0,370.0,4.1,555.5555556,32.22222222,34.54,하,하,하,하,"경상북도 청도군은 의료와 교육 접근성이 낮지만, 월세와 보증금 부담이 비교적 낮은 지역으로 평가됩니다. 종합적으로는 의료, 교육, 월세 등 모든 부담 요소에서 등급이 낮게 평가되는 특징을 가지고 있습니다."
경상북도 청송군,0.001368426,1611.0,334.0,4.82,551.4842298,43.64755922,45.95,하,하,상,상,"경상북도 청송군은 의료 및 교육 평균접근성이 낮은 편이지만 보증금과 월세가 비교적 높고, 교원 1인당 학생수가 적은 지역으로 나타납니다. 종합부담등급과 월세등급은 중상이지만, 의료 및 교육 인프라 등급이 낮은 것으로 나타납니다."
경상북도 칠곡군,0.001834618,84540.0,7330.0,11.53,549.5652174,40.91304348,43.2,중,상,중,중,"경상북도 칠곡군은 의료와 교육 분야에서 중간 수준의 서비스를 제공하고 있으며, 월세 부담이 중간 수준에 해당합니다. 학생과 교사의 비율은 학생 한 명당 교원이 약 11명으로 적당한 교육 환경을 제공하고 있습니다."
경상북도 포항시,0.0016089,10059.0,1390.0,7.24,548.1803279,39.13770492,41.42,하,중,중,중,"경상북도 포항시는 의료 및 교육 접근성이 낮지만, 학생수 대비 교원수가 적절하며 보증금과 월세가 상대적으로 낮은 지역입니다. 종합적으로는 중등급의 부담이 있는 지역으로 설명될 수 있습니다."
세종특별자치시,0.002741627,1660.0,393.0,4.22,,,,상,하,,,세종특별자치시는 의료 접근성이 뛰어나고 학생 대비 교원 비율이 높은 특성을 가지고 있습니다. 하지만 보증금과 월세 금액 등 임대주택 관련 정보는 제공되지 않아 해당 부분에 대한 정보는 알 수 없습니다.
세종특별자치시 ,,,,,546.875,44.75,47.03,,,상,상,"세종특별자치시는 의료 및 교육 데이터가 없는 지역으로, 주택 시장은 상으로 평가되며 월세 부담이 비교적 높은 편입니다."
