지역명,의료 평균접근성,학생수,교원수,교원 1인당 학생수,보증금(만원),월세금(만원),종합월부담,종합부담등급,의료 등급,교육 인프라 등급,월세등급,summary,인구수,면적
경기도 광명시,0.003880402,3228,496,6.51,846.9285714,45.82142857,49.35,상,상,하,상,"경기도 광명시는 의료와 교육 분야에서 뛰어난 접근성을 가지고 있으며, 월세와 보증금 부담이 낮은 편이며 종합적인 부담도 낮은 편에 속합니다.",278167,38522727.4
경기도 광주시,0.00179689,33973,2635,12.89,840.3773585,35.8490566,39.35,중,중,상,하,"경기도 광주시는 의료 및 교육 인프라가 중간 수준이고, 월세 부담이 낮은 지역으로 평가됩니다. 학생수 대비 교원수 비율이 적절하며, 의료 접근성도 보편적이고 보증금 수준이 높습니다.",397605,430990688.0
경기도 구리시,0.005039004,135654,10425,13.01,831.5982983,49.88042991,53.35,상,상,상,상,"경기도 구리시는 의료와 교육 인프라가 뛰어나며 학생과 교원 간의 균형을 유지하면서 살기 좋은 도시로 평가받고 있습니다. 또한 주거 비용이 상대적으로 높지만, 전반적으로 생활부담이 비교적 낮은 상황에 있습니다.",186882,33340382.8
경기도 군포시,0.004086107,14462,1286,11.25,812.5,37.875,41.26,중,상,상,중,"경기도 군포시는 의료와 교육 분야에서 중상급의 서비스 수준을 제공하는 지역으로, 교원 1인당 학생수가 적절하며 월세 부담도 중간 수준에 해당됩니다.",255931,36418717.4
경기도 김포시,0.002352142,48360,4022,12.02,800.0,33.66666667,37.0,하,중,상,하,"경기도 김포시는 의료 및 교육 평균접근성이 낮고, 월세 및 종합부담 등급이 낮은 것으로 나타납니다. 학생수 대비 교원수가 적은 편이며, 보증금과 월세가 상대적으로 낮은 것도 특징으로 볼 수 있습니다.",486853,276601494.5
경기도 남양주시,0.002191053,25996,2339,11.11,792.7959184,44.5755102,47.88,상,중,상,상,경기도 남양주시는 의료 및 교육 인프라가 뛰어나며 학생당 교원 수도 적절한 수준이며 종합적으로 부담이 있지만 상위 등급에 속하는 지역입니다. 또한 월세 등급이 상이며 보증금 및 월세금도 중간 수준에 위치하고 있습니다.,732482,458118700.8
경기도 동두천시,0.002607856,65442,5210,12.56,789.8078818,44.20745634,47.5,상,중,상,상,"경기도 동두천시는 의료 및 교육 인프라가 상위 등급에 속하고, 월세 및 종합부담 등급 역시 상으로 평가되는 지역입니다. 또한, 학생 수 대비 교원 수가 적당하며 보증금과 월세금이 상대적으로 높은 편이라는 특징을 갖고 있습니다.",86838,95678056.4
경기도 부천시,0.004306837,75243,6008,12.52,781.25,33.28125,36.54,하,상,상,하,"경기도 부천시는 의료 접근성과 월세 부담이 낮은 지역으로, 교육 인프라와 종합부담 등급이 높은 것이 특징입니다. 또한 학생 대비 교원 수가 적절하며, 보증금과 월세금이 상대적으로 낮아 생활 비용 부담이 적은 곳으로 평가됩니다.",769918,53461299.8
경기도 성남시,0.005333952,11811,1351,8.74,771.9656463,41.16530612,44.38,중,상,중,중,"경기도 성남시는 의료 및 교육 인프라가 양호한 중간 수준의 지역으로, 평균접근성이 낮지만 학생수 대비 교원수가 적절하고 부동산 부담이 중간 수준이며 월세도 중간 정도의 금액을 가지고 있습니다.",913009,141626087.7
경기도 수원시,0.004453984,41001,3120,13.14,763.9374379,45.25124131,48.43,상,상,상,상,"경기도 수원시는 의료 및 교육 분야에서 높은 수준의 서비스를 제공하며, 월세 및 보증금 부담이 높은 상위 지역으로 평가됩니다. 해당 지역은 학생과 교원 간의 거리가 가깝고, 의료 시설에 접근이 용이한 편이며 종합적으로는 품질이 우수한 것으로 평가됩니다.",1193005,121101386.9
경기도 시흥시,0.003481657,144027,10707,13.45,761.9314574,47.48773449,50.66,상,상,상,상,"경기도 시흥시는 의료와 교육 평균접근성이 뛰어나며, 학생과 교원 간의 밸런스도 유지되는 곳으로 보증금과 월세가 높은 집값을 가지고 있습니다.",518132,139930788.5
경기도 안산시,0.002769356,20275,1993,10.17,760.2561983,40.93057851,44.1,중,상,상,중,"경기도 안산시는 의료와 교육 분야에서 중상급 수준의 서비스를 제공하고 있으며, 월세 부담이 중상급으로 유지되는 지역입니다.",620579,156467230.5
경기도 안성시,0.002011561,1783,328,5.44,750.0,46.5,49.62,상,중,하,상,"경기도 안성시는 의료와 교육 분야에서 상이나 중급 수준의 서비스를 제공하며, 월세와 종합부담 비용이 높은 편이지만 학생 대비 교원 수가 적절하고 교육 인프라 등급이 중위 수준에 해당합니다.",193949,553474986.5
경기도 안양시,0.003452697,9960,956,10.42,745.1243781,36.88723051,39.99,중,상,상,중,"경기도 안양시는 의료와 교육 평균접근성이 높고, 학생수 대비 교원수가 적절한 교육 인프라를 갖춘 지역으로 평가됩니다. 또한 보증금과 월세가 상대적으로 낮아 생활 비용 부담이 낮은 편이며, 종합부담 등급도 높은 편으로 평가됩니다.",556492,58500796.4
경기도 양주시,0.002285739,5303,688,7.71,736.3636364,38.63636364,41.7,중,중,중,중,"경기도 양주시는 의료와 교육 접근성이 높고 종합부담이 중간 수준인 지역으로, 교원 1인당 학생수가 낮아 교육 환경이 양호하며, 월세 및 보증금 역시 중간 수준으로 안정적인 지역입니다.",289005,310496250.4
경기도 양평군,0.001343163,8160,756,10.79,736.3448276,42.16551724,45.23,상,하,상,상,"경기도 양평군은 의료, 교육 인프라가 상위 등급으로 평가되며, 월세 및 종합월부담 등급 역시 높은 수준을 보이는 지역으로, 학생과 교원의 비율이 적절하고 월세와 보증금이 상대적으로 높은 편입니다.",126804,877914675.3
경기도 여주시,0.002029471,2187,341,6.41,734.817574,36.28844317,39.35,중,중,하,하,"경기도 여주시는 교육 및 의료 인프라가 중급 수준으로 평가되며, 월세 및 종합부담이 낮은 것이 특징입니다. 또한 학생수 대비 교원 수가 적절하게 유지되고 있어 교육환경이 안정적인 지역입니다.",114610,608189719.1
경기도 연천군,0.001270597,1791,285,6.28,731.0197368,39.60855263,42.65,중,하,하,중,"경기도 연천군은 의료 및 교육 평균접근성이 낮고, 월세 및 보증금도 상대적으로 낮은 편이며 교원 1인당 학생수는 비교적 낮은 수준에 위치하고 있습니다. 종합적인 부담 등급은 낮으며, 교육 인프라 등급은 하이지만 의료 등급은 중에 해당됩니다.",40866,678425789.1
경기도 오산시,0.00274787,2753,498,5.53,722.6216404,35.9362836,38.95,중,상,하,하,"경기도 오산시는 의료와 교육 인프라가 상당히 뛰어나며, 월세 부담이 낮은 지역으로 평가됩니다. 학생과 교사 간의 비율이 적절하고, 의료 접근성도 양호한 편이며 종합적인 부담도 낮은 편에 속합니다.",242065,42689410.2
경기도 용인시,0.002297112,43011,3853,11.16,721.3114754,34.27868852,37.28,하,중,상,하,"경기도 용인시는 의료 및 교육 평균접근성이 높고 보증금과 월세가 비교적 낮은 지역으로, 학생들에게는 교육 환경이 풍부하며 주거 비용 부담이 낮은 도시로 평가됩니다.",1085864,591237295.9
경기도 의왕시,0.003878418,2732,402,6.8,716.0,45.12,48.1,상,상,하,상,"경기도 의왕시는 의료 및 교육 인프라가 뛰어나고 월세 및 종합부담 등급이 높은 지역으로, 교원 1인당 학생수가 적은 것이 특징입니다.",154488,54027405.3
경기도 의정부시,0.003403666,2478,468,5.29,700.0,39.7,42.62,중,상,하,중,"경기도 의정부시는 의료 접근성이 낮고 월세 부담이 중간 수준인 지역으로, 학교 교육 인프라는 우수하지만 종합 부담은 낮은 편입니다.",461271,81550812.2
경기도 이천시,0.002365864,3714,526,7.06,699.5017585,41.95486518,44.87,상,중,하,중,"경기도 이천시는 의료 접근성이 뛰어나며 학생과 교원의 비율이 적절한 중규모 지역으로, 교육 인프라 및 월세 등급은 중하 수준이며 종합적인 부담도 낮은 편입니다.",222443,461590163.5
경기도 파주시,0.001564768,32444,3024,10.73,698.6111111,36.76388889,39.67,중,하,상,중,"경기도 파주시는 학생수 대비 교원 수가 적절하며, 학생 한 명당 교원이 적절한 수를 가지고 있는 교육 인프라를 갖추고 있습니다. 또한 의료와 주거 부담이 높은 편이지만, 의료 및 교육 인프라 등급이 중하에서 상을 유지하고 있는 종합적인 부담이 높은 지역입니다.",511308,673870353.9
경기도 평택시,0.00241212,3691,518,7.13,696.969697,35.03030303,37.93,하,중,하,하,"경기도 평택시는 의료 및 교육 접근성이 뛰어나며 부담금이 낮아 생활하기 편리한 지역으로 평가됩니다. 또한, 교원 1인당 학생수가 적절하게 유지되며 월세도 낮은 수준으로 형성되어 있어 주거 및 교육 환경이 좋은 것으로 나타납니다.",598556,458582143.8
경기도 포천시,0.002153142,2642,468,5.65,687.5,43.125,45.99,상,중,하,상,"경기도 포천시는 의료와 교육 평균접근성이 높고, 월세 및 종합부담 등급이 높은 상위 지역으로 평가됩니다. 또한, 교원 1인당 학생수가 적고, 학생수 대비 교원수가 적절히 조절되어 있는 중등 교육 인프라 등급을 가지고 있습니다.",141463,827231162.0
경기도 하남시,0.003055814,5392,818,6.59,686.5934066,35.67032967,38.53,하,상,하,하,"경기도 하남시는 교육 인프라가 우수하고 월세 부담이 낮은 지역으로, 학생들에게 좋은 교육 환경과 경제적 부담을 덜 받는 장점이 있습니다. 또한 의료 접근성은 뛰어나며 종합적으로 보면 생활 환경이 편리하고 편안한 곳으로 평가됩니다.",329120,92984411.7
경기도 화성시,0.002044895,2019,341,5.92,678.680203,41.39593909,44.22,중,중,하,중,"경기도 화성시는 교육 인프라와 의료 서비스가 중위 수준으로 제공되며, 월세 부담이 중간 수준인 지역으로 보증금과 월세금이 상대적으로 높은 편입니다.",968821,700765911.7
경상남도 거제시,0.00209701,3724,557,6.69,676.2711864,34.57627119,37.39,하,중,하,하,"경상남도 거제시는 의료와 교육 분야에서 평균적으로 낮은 부담을 가지고 있으며, 교육 인프라 등급은 중이지만 월세 부담은 낮은 수준에 해당됩니다.",232972,403878631.4
경상남도 거창군,0.001510352,1921,375,5.12,668.3628319,34.96460177,37.75,하,하,하,하,"경상남도 거창군은 의료와 교육 분야에서 접근성이 낮고 부담이 적은 지역으로, 학생과 교사의 비율이 적절하며 월세또한 낮은 수준으로 관측됩니다.",59588,803956452.6
경상남도 고성군,0.001707494,1798,308,5.84,660.8695652,36.86956522,39.62,중,하,하,중,"경상남도 고성군은 의료 접근성이 매우 낮고 월세 부담이 적은 지역으로, 교육 인프라는 평균 수준이지만 보증금 부담이 큰 특징을 가지고 있습니다.",48005,518033355.5
경상남도 김해시,0.003108114,2232,398,5.61,657.912271,41.59578012,44.34,중,상,하,중,"경상남도 김해시는 의료 및 교육 평균접근성이 높은 지역으로, 교원 1인당 학생수가 낮고 교육 인프라 등급이 상으로 평가됩니다. 또한 월세 및 종합부담이 중하등급에 위치하고, 의료 등급은 중으로 분류됩니다.",531676,463553266.9
경상남도 남해군,0.002155142,3136,471,6.66,651.2605941,47.44039604,50.15,상,중,하,상,"경상남도 남해군은 의료, 교육, 주거비 부담 면에서 상대적으로 높은 수준을 갖춘 지역으로, 학생수 대비 교원 수가 높고 의료 접근성이 우수한 특징을 보입니다. 또한, 상위 등급의 월세와 종합부담 등급을 보유하고 있어 주거 환경 또한 양호한 것으로 파악됩니다.",39832,357782369.4
경상남도 밀양시,0.0016376,3815,504,7.57,650.3504673,30.72663551,33.44,하,하,중,하,"경상남도 밀양시는 의료와 교육 분야에서 접근성이 낮지만, 보증금과 월세 금액이 상대적으로 낮은 지역으로 분류됩니다. 종합부담 등급은 중이지만, 교육 및 의료 인프라 등급은 낮은 편에 속합니다.",100691,798711482.4
경상남도 사천시,0.002103448,8777,1062,8.26,647.0588235,38.14705882,40.84,중,중,중,중,"경상남도 사천시는 의료와 교육 평균적인 수준이며, 월세 및 보증금 부담도 중간 수준에 해당하는 지역입니다. 학업에 집중할 수 있도록 교원 1인당 학생수가 적정하며, 의료 접근성도 일정 수준을 유지하고 있습니다.",108504,398823160.8
경상남도 산청군,0.001686899,12679,1310,9.68,643.9189189,46.81381381,49.5,상,하,중,상,"경상남도 산청군은 의료 평균접근성이 매우 낮고, 교육 인프라 등급이 낮은 지역으로, 월세 및 종합부담 등급은 상이지만 종합부담등급은 중으로, 총 보증금과 월세 금액은 상대적으로 낮은 수준에 위치하며 학생 대비 교원 수도 적은 편입니다.",33259,794730822.9
경상남도 양산시,0.002593241,4010,392,10.23,640.4060495,37.49587534,40.16,중,중,상,중,"경상남도 양산시는 의료 및 교육 인프라가 중위 수준이며, 월세 부담 등급은 중 상으로 평균적인 수준에 속합니다. 학생과 교원 수의 비율은 10.23로 학생들에 대한 교사 관리가 상대적으로 효율적으로 이루어지고 있습니다.",359531,485697768.6
경상남도 의령군,0.001271588,11121,1116,9.97,638.75,37.11363636,39.78,중,하,상,중,"경상남도 의령군은 교육 인프라가 부족한 상태이지만 의료 접근성이 뛰어나며 월세 부담이 낮은 지역으로, 종합적으로는 풍부한 의료 서비스를 제공하면서도 적은 비용으로 생활할 수 있는 소요지입니다.",25150,482917830.8
경상남도 진주시,0.002618133,105894,9062,11.69,636.6666667,35.88333333,38.54,하,중,상,하,"경상남도 진주시는 학생수가 많고 교원 1인당 학생수가 낮은 교육 인프라가 중간 수준인 지역으로, 의료 및 월세 부담이 낮은 편인데 상호보완적인 등급을 가지고 있습니다.",338785,712913375.0
경상남도 창녕군,0.002253707,22007,2237,9.84,633.3333333,39.77777778,42.42,중,중,중,중,"경상남도 창녕군은 의료 및 교육 평균접근성이 중등 수준이며, 학생과 교원의 비율이 상대적으로 적절한 교육 환경을 제공하는 지역입니다. 또한 주거비 부담이 중등 수준으로 학생들과 시민들에게 경제적으로 상대적으로 부담이 적은 지역으로 알려져 있습니다.",56085,532663627.8
경상남도 창원시,0.002847222,6693,543,12.33,633.3333333,33.33333333,35.97,하,상,상,하,"경상남도 창원시는 의료 및 학교 교육 인프라 등급이 높고, 월세 등급은 낮은 지역으로, 학생수 대비 교원 수가 적절하며 종합부담도 상대적으로 낮은 편입니다. 또한, 의료 접근성은 낮지만 보증금과 월세가 비교적 낮아 생활비 부담이 적은 편입니다.",999858,749244183.9
경상남도 통영시,0.002788114,9744,1314,7.42,630.3030303,37.66666667,40.29,중,상,중,중,"경상남도 통영시는 의료 및 교육 접근성이 중간 수준으로 평가되며, 월세 부담도 중간 정도로 나타나는 지역으로 특징됩니다. 학생수 대비 교원수 비율이 적절하며, 교육 인프라 등급이 상위로 평가되는 특징을 가지고 있습니다.",118481,239913412.1
경상남도 하동군,0.001099795,3833,575,6.67,630.0,38.9,41.52,중,하,하,중,"대한민국 경상남도 하동군은 의료 접근성이 낮고 교육 인프라가 부족한 지역으로, 월세 부담이 낮지만 보증금 부담이 높은 특징을 가지고 있습니다.",40765,675293914.2
경상남도 함안군,0.001553724,11363,1506,7.55,622.7923607,36.81792074,39.41,중,하,중,중,"경상남도 함안군은 의료와 교육 평균접근성이 낮은 편이지만, 상대적으로 월세금은 낮고 보증금은 높은 편이며 종합부담등급은 중으로 평가되는 지역입니다.",58842,416610092.3
경상남도 함양군,0.001697874,20772,1887,11.01,616.0,37.44,40.01,중,하,상,중,"경상남도 함양군은 의료 접근성이 낮고 보증금이 비교적 높은 지역으로, 교육 인프라 등급은 낮지만 교원 1인당 학생수는 적은 편입니다. 종합부담 등급은 상으로 평가되며, 월세금과 의료 등급은 중으로 나타납니다.",36131,724741810.3
경상남도 합천군,0.001752368,8447,1085,7.79,614.584919,35.72656801,38.29,하,하,중,하,"경상남도 합천군은 의료와 교육의 접근성이 낮고, 월세 및 보증금 부담이 상대적으로 적은 지역으로, 종합적인 부담 등급은 중지만 교육 및 의료 인프라는 낮은 수준에 해당합니다.",40225,983138088.0
경상북도 경산시,0.001399438,4302,733,5.87,614.1891892,37.35135135,39.91,중,하,하,중,"경상북도 경산시는 의료와 교육 분야에서 중하 등급을 받고 있는 지역으로, 월세와 종합부담 부분에서는 중하 수준을 유지하고 있습니다. 교원 1인당 학생 수는 낮지만 의료 평균접근성은 매우 낮은 편에 속합니다.",266398,411875914.4
경상북도 경주시,0.001575055,20853,1941,10.74,606.9444444,32.30555556,34.83,하,하,상,하,"경상북도 경주시는 의료와 교육 접근성이 뛰어나지만 주거 부담이 높은 지역으로 평가됩니다. 교원 1인당 학생수가 적은 것으로 보아 교육 환경이 좋은 편이며, 의료 및 교육 등급이 하지만 종합부담 등급은 상으로 나타납니다.",244769,1324932856.0
경상북도 고령군,0.002053916,3578,640,5.59,605.2631579,41.63157895,44.15,중,중,하,중,"경상북도 고령군은 의료와 교육 평균접근성이 중간 수준으로, 월세 부담은 중간 수준에 있으나 종합부담은 낮은 수준에 위치한 지역입니다. 교원 1인당 학생수는 상대적으로 낮고, 보증금은 높은 편에 속합니다.",30062,384245223.4
경상북도 구미시,0.001538845,52140,4286,12.17,602.5,30.33333333,32.84,하,하,상,하,"경상북도 구미시는 의료 서비스와 교육 인프라가 낮은 수준으로 평가되는 지역이며, 월세 부담이 낮은 편이지만 보증금 부담은 높은 상태입니다.",404820,615620045.1
경상북도 김천시,0.001607357,7442,997,7.46,598.797619,34.05952381,36.55,하,하,중,하,"경상북도 김천시는 의료와 교육 접근성이 낮고, 월세금이 상대적으로 저렴한 지역으로 판단됩니다. 종합적으로는 중등부담등급이지만, 교육 인프라 등급은 낮게 평가되는 특성을 가지고 있습니다.",135446,1010074481.7
경상북도 문경시,0.001305594,87493,6967,12.56,596.802168,39.69918699,42.19,중,하,상,중,"경상북도 문경시는 의료와 교육 접근성이 낮지만 부동산 부담이 높은 지역으로, 교육 인프라 등급은 낮지만 종합적으로는 부담이 있는 상위 지역으로 평가됩니다.",67257,912069619.6
경상북도 봉화군,0.001224418,1917,355,5.4,595.5801105,32.54143646,35.02,하,하,하,하,"경상북도 봉화군은 의료 및 교육 인프라의 접근성이 낮고 월세 및 보증금이 비교적 저렴한 지역으로, 교원 1인당 학생 수는 낮지만 학생 수 대비 교원 수가 적은 특징을 가지고 있습니다.",28836,1202666075.2
경상북도 상주시,0.001584686,4215,612,6.89,593.75,48.5,50.97,상,하,하,상,"경상북도 상주시는 의료 서비스에 상위 등급을 받았지만, 교육 인프라와 월세 부담이 낮은 수준인 지역입니다. 지역 내 교사와 학생 간의 비율은 교육 환경을 지원할 수 있는 수준을 보여주고 있습니다.",91850,1254696772.9
경상북도 성주군,0.001315966,11736,1193,9.84,593.1372549,36.13921569,38.61,하,하,중,하,"경상북도 성주군은 의료와 교육 분야에서 낮은 수준의 접근성과 편의성을 가지고 있으며, 월세 및 보증금 부담이 상대적으로 낮은 지역으로 평가됩니다. 종합적으로는 중부하의 부담등급으로 분류되어 있습니다.",41452,616878308.6
경상북도 안동시,0.00165589,4650,730,6.37,584.755199,42.4818776,44.92,상,하,하,상,"경상북도 안동시는 의료 및 교육 인프라가 상위 등급에 속하며, 학생 수에 비해 교원 수가 상대적으로 많은 지역입니다. 또한 월세 부담이 높지만, 의료 평균접근성은 상당히 낮은 것이 특징입니다.",153159,1522288785.4
경상북도 영덕군,0.001922645,30916,2917,10.6,584.6153846,37.69230769,40.13,중,중,상,중,경상북도 영덕군은 의료 및 교육 평균접근성이 뛰어나며 학생수 대비 교원수가 적절한 편이고 월세 및 보증금 부담도 중간 수준으로 안정적인 지역입니다. 종합부담 등급은 상이지만 의료 및 교육 인프라 등급은 중으로 평가되는 지역입니다.,33210,741323962.2
경상북도 영양군,0.001318012,6761,1063,6.36,578.9523493,36.43306738,38.85,중,하,하,중,"경상북도 영양군은 의료와 교육 접근성이 낮지만 부동산 부담은 낮은 편이며, 학생 수에 비해 교원 수가 상대적으로 많아 교육 환경이 보다 개별적인 지역입니다.",15328,815862683.2
경상북도 영주시,0.001698282,7134,1043,6.84,578.3,38.15,40.56,중,하,하,중,"경상북도 영주시는 의료와 교육 평균접근성이 낮지만, 보증금과 월세금이 낮은 편으로 종합부담이 상대적으로 낮은 지역입니다. 또한 학생수 대비 교원수가 적어 교원 1인당 학생수가 낮은 편이며, 교육 인프라 등급이 낮은 것으로 나타납니다.",98870,670173276.8
경상북도 영천시,0.001279926,1866,345,5.41,578.0,36.62,39.03,중,하,하,중,"경상북도 영천시는 의료 및 교육 접근성이 보편적으로 낮지만, 상대적으로 낮은 보증금과 월세로 경제적으로 부담이 적은 지역입니다. 또한 교원 1인당 학생수가 적어 학습 환경을 보다 개인화하여 제공하고 있습니다.",98143,919204898.9
경상북도 예천군,0.001506059,3786,659,5.75,575.0,39.35416667,41.75,중,하,하,중,"경상북도 예천군은 의료 접근성이 낮고 학생과 교사 간 비율이 적절한 교육 인프라를 갖춘 지역으로, 월세 부담이 중간 수준인 지역입니다.",54609,661519264.1
경상북도 울릉군,0.005593546,2140,419,5.11,573.7703822,31.3366242,33.73,하,상,하,하,"경상북도 울릉군은 의료 및 월세 부담이 낮고, 교육 인프라가 뛰어난 지역으로 평균적인 교사당 학생수는 5.11명에 달하며 학생수는 2140명으로 형편이 안정적인 편입니다.",9099,73042522.1
